Symbol,Atomic number,Atomic weight,Group,Name,,,,,,,,,,,,,,,,,,,,,.
Tc,43,Awt,7,Technetium,,,,,,,,,,,,,,,,,,,,,
Te,52,127.8,16,Tellurium,,,,,,,,,,,,,,,,,,,,,
Tb,65,158.9,11,Terbium,,,,,,,,,,,,,,,,,,,,,
Tl,81,204.3,13,Thallium,,,,,,,,,,,,,,,,,,,,,
Th,90,232,4,Thorium,,,,,,,,,,,,,,,,,,,,,
Tm,69,168.9,15,Thulium,,,,,,,,,,,,,,,,,,,,,
Sn,50,118.7,14,Tin,,,,,,,,,,,,,,,,,,,,,
Ti,22,47.87,4,Titanium,,,,,,,,,,,,,,,,,,,,,
W,74,183.8,6,Tungsten,,,,,,,,,,,,,,,,,,,,,
U,92,238,6,Uranium,,,,,,,,,,,,,,,,,,,,,
V,23,50.94,5,Vanadium,,,,,,,,,,,,,,,,,,,,,
Xe,54,131.3,18,Xenon,,,,,,,,,,,,,,,,,,,,,
Yb,70,173.1,16,Ytterbium,,,,,,,,,,,,,,,,,,,,,
Y,39,88.91,3,Yttrium,,,,,,,,,,,,,,,,,,,,,
Zn,30,65.38,12,Zinc,,,,,,,,,,,,,,,,,,,,,
Zr,40,91.22,4,Zirconium,,,,,,,,,,,,,,,,,,,,,
